Project Name,Promoter Name,Certificate No.,Last Modified
Indian Oil Officers Cooperative Housing Society Limited Petronest,INDIAN OIL OFFICERS COOPERATIVE HOUSING SOCIETY LIMITED,K-RERA/PRJ/ERN/080/2021,30/05/2023
KCHELL RESIDENCY,KCHELL INFRASTRUCTURE AND TRADING COMPANY PRIVATE LIMITED,K-RERA/PRJ/KLM/078/2021,15/12/2021
Levita Sapphire,Levita Builders and Developers Private Limited,K-RERA/PRJ/169/2021,13/12/2021
PENTAGON CYBER VISTA,PENTAGON BUILDERS,K-RERA/PRJ/097/2020,18/01/2025
THE UPTOWN BY INDROYAL,INDROYAL PROPERTIES PRIVATE LIMITED,K-RERA/PRJ/052/2021,23/04/2024
SUPER GOOD NEST,SUPER GOOD HOMES,K-RERA/PRJ/069/2021,05/06/2023
SUN ELECASA,SUN PROJECTS INDIA PRIVATE LIMITED,K-RERA/PRJ/186/2021,11/11/2021
CREDENCE APARTMENT,A A ABDUL LATHIF,K-RERA/PRJ/162/2021,09/05/2022
ASSET LUMINANCE,ASSET HOMES PRIVATE LIMITED,K-RERA/PRJ/ERN/071/2021,17/01/2025
SFS HAVELI,SKYLINE FOUNDATIONS AND STRUCTURES PRIVATE LIMITED,K-RERA/PRJ/ERN/070/2021,04/01/2024
CONDOR PRIMROSE,CONDOR BUILDERS PVT LTD,K-RERA/PRJ/TVM/069/2021,17/01/2025
THE LANTERN BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,K-RERA/PRJ/TVM/067/2021,27/01/2025
MOOPANS RIVERSIDE,Moopans,K-RERA/PRJ/127/2021,07/12/2023
One Anthem,ULCCS IT Infrastructure Private Limited,K-RERA/PRJ/KKD/062/2021,08/01/2025
ABAD INSPIRATIONS,ABAD BUILDERS PVT LTD,K-RERA/PRJ/ERN/061/2021,30/10/2024
MULBERRY HOMES- MYSTIC ROSE,NITHIN MICHELLE BUILDERS AND DEVELOPERS P LTD,K-RERA/PRJ/294/2020,10/06/2023
ORCHID APARTMENTS,IDFIX BUILDERS PVT LTD,K-RERA/PRJ/136/2020,12/10/2024
CIDBI CHALET,A A ABDUL LATHIF,K-RERA/PRJ/TSR/059/2021,05/04/2024
LEVIS CASA,Levi Thomas,K-RERA/PRJ/KNR/058/2021,03/02/2025
LEVIS CASA,Levi Thomas,K-RERA/PRJ/KNR/058/2021,03/02/2025
HiLITE FLORINA,HiLITE Builders Pvt Ltd,K-RERA/PRJ/KKD/054/2021,31/10/2024
DD HIGHWAY GATE,SEA WIND REALTORS INDIA PRIVATE LIMITED,K-RERA/PRJ/147/2020,03/06/2023
VT Trine,Vee Tee Engineers Constructions Private Limited,K-RERA/PRJ/138/2021,29/03/2023
PVS CLASSIC,PVS Builders & Developers,K-RERA/PRJ/087/2020,23/01/2025
CJs HARITHA CITY PLAZA,CJ's HARITHA HOMES,K-RERA/PRJ/163/2021,18/01/2025
THE JORD,VAIPPIL VILLAS AND APARTMENTS,K-RERA/PRJ/179/2020,20/05/2024
THE CENTRAL EXCISE AND CUSTOMS OFFICERS HOUSING COOPERATIVE SOCIETY LTD,THE CENTRAL EXCISE AND CUSTOMS OFFICERS HOUSING COOPERATIVE SOCIETY LTD,K-RERA/PRJ/168/2021,13/04/2023
POWERLINK SHYAMAMOHANAM,Powerlink Builders Pvt Ltd,K-RERA/PRJ/154/2021,21/10/2024
HEATHER GREENAGE,Heather Infrastructure Private Limited,K-RERA/PRJ/051/2021,06/01/2025
PVS EMERALD,KERALA TRANSPORT COMPANY,K-RERA/PRJ/185/2020,31/08/2021
Adonai Majesty,Adonai Shelters Pvt Ltd,K-RERA/PRJ/311/2020,29/06/2023
LANDCHESTER LEGACY,Landchester Builders India Private Ltd,K-RERA/PRJ/031/2021,14/03/2024
Sowparnika River View Gardens Phase 2,Sowparnika Projects,K-RERA/PRJ/146/2021,12/12/2024
Sowparnika River View Gardens Phase 2,Sowparnika Projects,K-RERA/PRJ/146/2021,12/12/2024
SOWPARNIKA RIVER VIEW GARDENS PHASE 4,Sowparnika Projects,K-RERA/PRJ/185/2021,12/12/2024
SOWPARNIKA RIVER VIEW GARDENS PHASE 4,Sowparnika Projects,K-RERA/PRJ/185/2021,12/12/2024
WINDS OF CHANGE,ICLOUD HOMES PRIVATE LIMITED,K-RERA/PRJ/182/2021,23/01/2025
DD CITY GATE,SEA WIND REALTORS INDIA PRIVATE LIMITED,K-RERA/PRJ/122/2020,07/06/2024
NANMA DOWNTOWN,NANMA PROPERTIES LTD,K-RERA/PRJ/365/2020,17/01/2025
"CONFIDENT OBERON, NEAR ALUVA, KOCHI",Confident Projects India Pvt Ltd,K-RERA/PRJ/293/2020,10/01/2023
Urbanscape Dynasty,Urbanscape Properties LLP,K-RERA/PRJ/110/2021,21/05/2024
PARADISE,PNR HOMES PRIVATE LIMITED,K-RERA/PRJ/TVM/040/2021,17/12/2024
Kalyan Centrum,Kalyan Developers,K-RERA/PRJ/049/2021,18/01/2025
DAHLIA VILLAS,OMG PROPERTIES PRIVATE LIMITED,K-RERA/PRJ/PKD/037/2021,22/08/2023
Urbanscape Glory,Urbanscape Properties LLP,K-RERA/PRJ/063/2020,05/03/2024
GARDENIA,Confident Projects Residential,K-RERA/PRJ/094/2020,17/01/2025
SMS SHRISHTI,SMS BUILDERS,K-RERA/PRJ/ERN/036/2021,04/07/2024
PRS PARAM RATNA,PRS BUILD INDIA PRIVATE LIMITED,K-RERA/PRJ/286/2020,04/02/2025
LANDMARK MAPLE,CALICUT LANDMARK BUILDERS AND DEVELOPERS INDIA PRIVATE LIMITED,K-RERA/PRJ/027/2020,13/06/2023
VFIVE MIDCITY,VFIVE HOMES PRIVATE LIMITED,K-RERA/PRJ/043/2021,17/01/2025
RED ORCHID,Malabar Developers Private Limited,K-RERA/PRJ/164/2020,29/07/2024
SILPI MARIGOLD,SILPI PROJECTS,K-RERA/PRJ/ALP/035/2021,25/12/2024
SILVER SPRING,PNR HOMES PRIVATE LIMITED,K-RERA/PRJ/TVM/033/2021,18/04/2024
S.A. Square,S A Homes,K-RERA/PRJ/051/2020,17/10/2023
ARYA,Chothy's Building Promoters Pvt Ltd,K-RERA/PRJ/054/2020,02/08/2023
BAMBOO PARK II,Malabar Developers Private Limited,K-RERA/PRJ/046/2021,09/04/2024
VFIVE DEEPAM,VFIVE HOMES PRIVATE LIMITED,K-RERA/PRJ/346/2020,17/01/2025
YASORAM ARL HEIGHTS,YASORAM BUILDERS PVT LTD,K-RERA/PRJ/289/2020,12/05/2023
Nikunjam Tharangini,Nikunjam Constructions Private Limited,K-RERA/PRJ/003/2020,05/03/2024
"CONFIDENT SYMPHONY, ALUVA",Confident Projects Residential,K-RERA/PRJ/356/2020,17/01/2025
MANSIONS SKYLUXE,MANSIONS,K-RERA/PRJ/084/2020,01/02/2025
HIGHLINE PARK,Highline Builders and Developers,K-RERA/PRJ/298/2020,08/07/2024
SKYLINE RANCH VILLAS-PHASE 2,M/s Skyline Builders,K-RERA/PRJ/013/2021,18/01/2025
Clearway ASTRUM,Clearway Builders Pvt Ltd,K-RERA/PRJ/140/2020,27/07/2021
NATE PANACHE,NATE BUILDERS PRIVATE LIMITED,K-RERA/PRJ/077/2021,23/01/2025
PTC WESTERN GHATS,PTC BUILDERS,K-RERA/PRJ/011/2021,16/04/2024
REGALIA APARTMENT,KSATHEESAN REALTORS PRIVATE LIMITED,K-RERA/PRJ/296/2020,18/01/2025
VISHRAAM MILESTONE,Vishraam Builders and Developers Pvt Ltd,K-RERA/PRJ/159/2020,18/01/2025
ARTECH RAINFOREST,ARTECH REALTORS PRIVATE LIMITED,K-RERA/PRJ/270/2020,17/01/2025
VITHAYATHIL AFFINITY AT PUKALAKKATTU,VITHAYATHIL HOMES,K-RERA/PRJ/351/2020,21/11/2024
VITHAYATHIL AFFINITY AT PUKALAKKATTU,VITHAYATHIL HOMES,K-RERA/PRJ/351/2020,21/11/2024
SREE MADHAVAM,ASWATHY CONSTRUCTIONS,K-RERA/PRJ/339/2020,30/12/2022
SFS GRANDVILLE,SKYLINE FOUNDATIONS AND STRUCTURES PRIVATE LIMITED,K-RERA/PRJ/343/2020,06/04/2024
THE VINTAGE BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,K-RERA/PRJ/021/2020,27/01/2025
VISHRAAM ICON,Vishraam Builders and Developers Pvt Ltd,K-RERA/PRJ/143/2020,18/01/2025
BUILTECH SUMMIT,BUILTECH SUMMIT,K-RERA/PRJ/068/2020,19/04/2022
SOWPARNIKA ATRIUM,Sowparnika Projects & Infrasturcture Pvt Ltd,K-RERA/PRJ/099/2021,05/01/2024
Indraneelam DEODATE,Indraneelam Builders,K-RERA/PRJ/244/2020,18/01/2025
CORDON TRINITY,CORDON CONSTRUCTORS & REALTORS Pvt Ltd,K-RERA/PRJ/005/2021,16/01/2024
MELONWOOD WAVES PHASE 1,Melonwood Homes Private Limited,K-RERA/PRJ/167/2021,06/10/2023
CONFIDENT ASTER,Confident Projects Residential,K-RERA/PRJ/312/2020,17/01/2025
SOWPARNIKA BHAVANI,Sowparnika Projects & Infrasturcture Pvt Ltd,K-RERA/PRJ/103/2021,19/12/2024
SOWPARNIKA RIVER VIEW GARDENS PHASE 5,Sowparnika Projects,K-RERA/PRJ/147/2021,12/12/2024
SOWPARNIKA RIVER VIEW GARDENS PHASE 5,Sowparnika Projects,K-RERA/PRJ/147/2021,12/12/2024
Kalyan Uptown,Kalyan Developers,K-RERA/PRJ/026/2020,18/01/2025
VFIVE ELYSIUM PHASE 1,VFIVE HOMES PRIVATE LIMITED,K-RERA/PRJ/290/2020,17/01/2025
POWERLINK GRAND HILLS,Powerlink Builders Pvt Ltd,K-RERA/PRJ/330/2020,21/10/2024
SOWPARNIKA NATURA,Sowparnika Projects & Infrasturcture Pvt Ltd,K-RERA/PRJ/334/2020,31/10/2024
SOWPARNIKA NATURA,Sowparnika Projects & Infrasturcture Pvt Ltd,K-RERA/PRJ/334/2020,31/10/2024
SOWPARNIKA GRAND SQUARE,Sowparnika Projects & Infrasturcture Pvt Ltd,K-RERA/PRJ/361/2020,31/10/2024
SOWPARNIKA GRAND SQUARE,Sowparnika Projects & Infrasturcture Pvt Ltd,K-RERA/PRJ/361/2020,31/10/2024
GREEN VIEWS,Chothy's Building Promoters Pvt Ltd,K-RERA/PRJ/116/2020,02/08/2023
Olive Celestina,OLIVE BUILDERS AND DEVELOPERS PVT LTD,K-RERA/PRJ/143/2021,11/11/2023
CIDBI CANDOR,A A ABDUL LATHIF,K-RERA/PRJ/112/2021,18/01/2025
ROYAL MULBERRY,Malabar Developers Private Limited,K-RERA/PRJ/355/2020,01/03/2024
CLOUDBERRY,Malabar Developers Private Limited,K-RERA/PRJ/208/2020,09/04/2024
JOS ALUKKAS DIAMOND ENCLAVE,ALUKKAS REALTORS INDIA PVT LITD,K-RERA/PRJ/023/2021,17/09/2021
JOS ALUKKAS GOLDEN ARK,ALUKKAS REALTORS INDIA PVT LITD,K-RERA/PRJ/065/2021,04/11/2024
VISHRAAM AANANDITA,VISHRAAM BUILDERS,K-RERA/PRJ/139/2020,18/01/2025
THE PETALS VILLAMENT BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,K-RERA/PRJ/119/2021,27/01/2025
ANTA - QUEENS GARDEN,ANTA BUILDERS & DEVELOPERS PVT LTD,K-RERA/PRJ/ERN/031/2021,17/01/2025
VISHRAAM CIVAANTA,VISHRAAM BUILDERS,K-RERA/PRJ/085/2021,18/01/2025
Kalyan Credenz,Kalyan Developers,K-RERA/PRJ/154/2020,18/01/2025
Kalyan Courtyard,Kalyan Developers,K-RERA/PRJ/065/2020,18/01/2025
Kalyan Marvella,Kalyan Developers,K-RERA/PRJ/155/2020,18/01/2025
CONFIDENT GOLD COAST B,Confident Projects India Pvt Ltd,K-RERA/PRJ/307/2020,03/01/2024
LANDMARK VILLAGE TOWER II,CALICUT LANDMARK BUILDERS AND DEVELOPERS INDIA PRIVATE LIMITED,K-RERA/PRJ/222/2020,07/10/2023
Kalyan Heritage,Kalyan Developers,K-RERA/PRJ/064/2020,18/01/2025
Indraneelam Sanctum SanctorumTower - 2,Indraneelam Builders,K-RERA/PRJ/134/2021,18/01/2025
ANANTA LIVING - PRITHVI,BUILTECH VENTURE LLP,K-RERA/PRJ/067/2020,14/05/2022
Homestead Ferris,Homestead Projects And Developers Private Limited,K-RERA/PRJ/217/2020,24/04/2024
SIDDHI SREEKALA,SIDDHI HOMES,K-RERA/PRJ/283/2020,11/06/2024
AMETHYST,OMG PROPERTIES PRIVATE LIMITED,K-RERA/PRJ/ERN/030/2021,07/01/2025
CORDON VISTA,CORDON CONSTRUCTORS & REALTORS Pvt Ltd,K-RERA/PRJ/052/2020,16/01/2024
Kalyan Meridian,Kalyan Developers,K-RERA/PRJ/013/2020,18/01/2025
Kalyan Sapphire,Kalyan Developers,K-RERA/PRJ/250/2020,18/01/2025
Kalyan Divinity,Kalyan Developers,K-RERA/PRJ/205/2020,18/01/2025
CHILGROVE,TALENMARK BUILDERS LLP,K-RERA/PRJ/059/2021,21/12/2023
SUN CORNER STONE,SUN PROJECTS INDIA PRIVATE LIMITED,K-RERA/PRJ/297/2020,14/05/2024
SUN MEDANTA,SUN PROJECTS INDIA PRIVATE LIMITED,K-RERA/PRJ/338/2020,30/05/2024
EMINENT,Heather Homes Private Limited,K-RERA/PRJ/353/2020,20/07/2023
MANSIONS PRISTINA,MANSIONS,K-RERA/PRJ/226/2020,01/02/2025
CONFIDENT BILBERRY,Confident Projects Residential,K-RERA/PRJ/108/2020,17/01/2025
HI-LIFE GRATIA APARTMENTS,HiLife Builders Pvt Ltd,K-RERA/PRJ/080/2020,01/02/2025
THE SERENEBAY BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,K-RERA/PRJ/144/2020,27/01/2025
SFS OLYMPIA,SKYLINE FOUNDATIONS AND STRUCTURES PRIVATE LIMITED,K-RERA/PRJ/322/2020,06/04/2024
NOEL ECODEN,NOEL VILLAS AND APARTMENTS,K-RERA/PRJ/335/2020,17/01/2025
"LANDMARK WORLD ENTASIS, LANDMARK WORLD FRIEZE",CALICUT LANDMARK BUILDERS AND DEVELOPERS INDIA PRIVATE LIMITED,K-RERA/PRJ/106/2021,04/10/2023
OLIVE IANTHA,OLIVE BUILDERS,K-RERA/PRJ/341/2020,30/03/2022
ASSET RAINTREE,ASSET HOMES PRIVATE LIMITED,K-RERA/PRJ/029/2020,17/01/2025
HEATHER MAGNUM,Heather Homes Private Limited,K-RERA/PRJ/015/2021,04/07/2023
Court Yard,The Keral Judicial Officers Cocoperative Society Ltd No 4475,K-RERA/PRJ/245/2020,27/05/2023
ASSET SUNNY DAYS,ASSET HOMES PRIVATE LIMITED,K-RERA/PRJ/041/2020,17/01/2025
THE CORNICHE,HEATHER CONSTRUCTIONS,K-RERA/PRJ/314/2020,03/11/2023
LANDMARK CENTRIO,CALICUT LANDMARK BUILDERS AND DEVELOPERS INDIA PRIVATE LIMITED,K-RERA/PRJ/134/2020,28/03/2024
LANDMARK MAPLE COMMERCIAL,CALICUT LANDMARK BUILDERS AND DEVELOPERS INDIA PRIVATE LIMITED,K-RERA/PRJ/036/2020,21/12/2023
"PENTIUM SPRING GREEN VILLAS, PERINTHALMANNA",PENTIUM CONSTRUCTION PRIVATE LIMITED,K-RERA/PRJ/172/2021,24/10/2024
BEACON FORTWINGS,Beacon Projects Pvt Ltd,K-RERA/PRJ/228/2020,31/01/2023
NOEL TUNES,NOEL VILLAS AND APARTMENTS,K-RERA/PRJ/096/2020,17/01/2025
LE ROYALE BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,K-RERA/PRJ/019/2020,27/01/2025
BEACON FORTVIEW,Beacon Projects Pvt Ltd,K-RERA/PRJ/268/2020,06/02/2023
NOEL POETRY,NOEL VILLAS AND APARTMENTS,K-RERA/PRJ/050/2021,17/01/2025
THE AEROPOLIS BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,K-RERA/PRJ/200/2020,27/01/2025
CULTURAL CENTRE,TALENMARK DEVELOPERS LLP,K-RERA/PRJ/074/2021,22/12/2023
VFIVE MONDAINE,VFIVE HOMES PRIVATE LIMITED,K-RERA/PRJ/032/2021,17/01/2025
Nikunjam Meridian,Nikunjam Constructions Private Limited,K-RERA/PRJ/278/2020,12/01/2024
VICTORIA REALTORS CHAITHRAM THIRD PHASE,DHARMIC LIVING PVT LTD,K-RERA/PRJ/105/2021,28/10/2023
Magnum Opus,Space Developers,K-RERA/PRJ/111/2020,23/02/2022
CONFIDENT IRIS,Confident Projects Residential,K-RERA/PRJ/025/2020,17/01/2025
SOWPARNIKA SHRIDI II,Sowparnika Projects & Infrasturcture Pvt Ltd,K-RERA/PRJ/164/2021,31/10/2024
THE IDENTITY,IDENTITY INFRASTRUCTURES TWIN TOWERS,K-RERA/PRJ/275/2020,11/03/2022
Mansions Palm Hills King Palms,MANSIONS,K-RERA/PRJ/017/2020,01/02/2025
POOJA ILLOM VIEW,PRAVEENKUMAR E A,K-RERA/PRJ/059/2020,07/06/2023
SAPTHAVARNA GALAXY,SAPTHAVARNA BUILDERS PVT LTD,K-RERA/PRJ/347/2020,04/07/2024
TC ONE SKYWALK TOWER 2,TC ONE PROPERTIES AND PROJECTS INDIA PVT LTD,K-RERA/PRJ/137/2020,06/12/2024
Jayaraj Anugraha,Jayaraj Properties,K-RERA/PRJ/089/2020,10/12/2024
VICTORIA REALTORS UPASANA,DHARMIC LIVING PVT LTD,K-RERA/PRJ/PKD/028/2021,28/10/2023
Aadithya Park,Aadithya Mansion India Private Limited,K-RERA/PRJ/TVM/027/2021,22/07/2023
50 CROSS ROADS,PVS Builders & Developers,K-RERA/PRJ/119/2020,23/01/2025
GRANDIOSE,Heather Infrastructure Private Limited,K-RERA/PRJ/204/2020,06/01/2025
CONFIDENT AQUILA Block 1 and ARINA Block 2,Confident Projects Residential,K-RERA/PRJ/100/2020,17/01/2025
HEATHER FERNS,Heather Homes Private Limited,K-RERA/PRJ/240/2020,06/01/2025
FREESIA,Confident Projects Residential,K-RERA/PRJ/104/2020,17/01/2025
RAINWOODS,MERITRA HOMES PVT LTD,K-RERA/PRJ/145/2021,17/01/2025
Jayaraj Thejus,Jayaraj Properties,K-RERA/PRJ/004/2021,10/12/2024
Venice Prestige,Venice Builders,K-RERA/PRJ/024/2021,27/12/2023
CLUB ONE BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,K-RERA/PRJ/162/2020,27/01/2025
LA-MAISON,Sree Dhanya Homes Pvt ltd,K-RERA/PRJ/306/2020,20/01/2025
VICTORIA REALTORS USHAS,DHARMIC LIVING PVT LTD,K-RERA/PRJ/035/2021,28/10/2023
VICTORIA REALTORS CHAITHRAM,DHARMIC LIVING PVT LTD,K-RERA/PRJ/044/2020,07/04/2023
PRIMROSE,Future Foundations Pvt Ltd,K-RERA/PRJ/083/2021,30/09/2023
THE GRAND AVENUE BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,K-RERA/PRJ/020/2020,27/01/2025
NANMA SACRAMENTO PROVIDENCE,NANMA PROPERTIES LTD,K-RERA/PRJ/304/2020,17/01/2025
"MRG SABARI APARTMENTS, PUNKUNNAM",MRG BUILDERS PRIVATE LTD,K-RERA/PRJ/099/2020,07/04/2022
SOWPARNIKA VAISHNAVAM,Sowparnika Projects & Infrasturcture Pvt Ltd,K-RERA/PRJ/109/2021,23/07/2024
THE SPRING WOODS BY FAVOURITE VALUE PLUS,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,K-RERA/PRJ/033/2020,27/01/2025
KUDUMBAM,Syama Dynamic Project Developers Private Limited,K-RERA/PRJ/180/2020,23/08/2024
BEVERLY FLORENTO,KPA DEVELOPERS,K-RERA/PRJ/002/2021,26/09/2023
NOEL OCTAVE,NOEL VILLAS AND APARTMENTS,K-RERA/PRJ/009/2021,17/01/2025
THE CARMEL HEIGHTS BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,K-RERA/PRJ/008/2020,27/01/2025
BEACON ORBIT,Beacon Projects Pvt Ltd,K-RERA/PRJ/299/2020,31/01/2023
THE LANTERN,Civil Service Officers Housing Co Operative Society Ltd,K-RERA/PRJ/022/2021,04/08/2023
OLIVE OURANIA,OLIVE BUILDERS,K-RERA/PRJ/325/2020,30/10/2024
PENTIUM ETERNIA VERTICAL HOMES,PENTIUM CONSTRUCTION PRIVATE LIMITED,K-RERA/PRJ/259/2020,16/05/2023
NOEL TALLTERRACE,NOEL VILLAS AND APARTMENTS,K-RERA/PRJ/354/2020,17/01/2025
ASSET RANGOLI,ASSET HOMES PRIVATE LIMITED,K-RERA/PRJ/095/2020,17/01/2025
ASSET SENATE,ASSET HOMES PRIVATE LIMITED,K-RERA/PRJ/105/2020,17/01/2025
SIDDHI POORNA PALACE,SIDDHI HOMES,K-RERA/PRJ/039/2021,11/06/2024
BASHI SILVERCREST APARTMENTS,KARIPARAMBIL KASIM SALAUDHIN,K-RERA/PRJ/316/2020,27/03/2023
ASSET TKM GRANDIOS STERLING,ASSETINDIA INFRAPROJECTS PRIVATE LIMITED,K-RERA/PRJ/302/2020,27/10/2022
