Updated Projectid,Registration Number,Builder Name,Project Category,Project Name,State,District,Project Registration Date,Declared Date Of Completion,Tehsil,Total area in round figure (Sq.mt.),Latitude,Longtitude,Architect Name
#N/A,UPRERAPRJ10324,TIRUPATI BUILDERS,Residential,GORAKHDHAM ENCLAVE,Uttar Pradesh,Gorakhpur,13-08-2017,3/6/2019,Gorakhpur,2987,"26,77,61","83,36,00",RAKESH KUMAR
#N/A,UPRERAPRJ4119,OMAXE LIMITED,Residential,GH-7 (EWS & LIG) AT OMAXE INTEGRATED TOWNSHIP,Uttar Pradesh,Lucknow,29-07-2017,31-12-2020,Lucknow,11550,26.805472,81.000536,PRAKASH KUMAR 
R265239,UPRERAPRJ8687,PANCHSHEEL BUILDTECH PVT. LTD.,Residential,"PANCHSHEEL PRIME 390 PHASE -4 (BLOCK-24,25,31 TO 3",Uttar Pradesh,Ghaziabad,12/8/2017,31-08-2022,Ghaziabad,7422,"28,40,38","77,29,11",Gaurav Singla
#N/A,UPRERAPRJ877113,PEYUSH INFRAREALTORS LLP,Residential,PEARL GREEN,Uttar Pradesh,Moradabad,28-07-2023,30-06-2027,Moradabad,39635.08,28.911571,78.720462,Vinayak Gupta
#N/A,UPRERAPRJ7263,SUPERTECH REALTORS PRIVATE LIMITED,Commercial,SUPERNOVA PHASE-III (ASTRALIS - COMMERCIAL),Uttar Pradesh,Gautam Buddha Nagar,13-08-2017,31-12-2018,Gautam Buddha Nagar,10657,29.1417703,77.336962, modarch india 
R921,UPRERAPRJ4766,LOGIX INFRATECH PRIVATE LIMITED,Residential,"BLOSSOM GREENS(PHASE-6 TOWER -U,V,W & SHOP)",Uttar Pradesh,Gautam Buddha Nagar,3/8/2017,31-12-2021,Gautam Buddha Nagar,11909,77.3273 E,28.5874 N,
R1084,UPRERAPRJ8574,PANCHSHEEL BUILDTECH PVT. LTD.,Residential,"PANCHSHEEL GREENS - II (TOWER-C1 TO C4,188 VILLAS)",Uttar Pradesh,Gautam Buddha Nagar,12/8/2017,31-03-2019,Gautam Buddha Nagar,23811,"28,36,22","77,27,33",Oasis Designs incorporated
R23822,UPRERAPRJ4599,VIRAJ CONSTRUCTIONS PVT. LTD.,Residential,"LOTUS COURT (PHASE 1), BBD GREEN CITY",Uttar Pradesh,Lucknow,8/8/2017,31-12-2020,Lucknow,15417,26.88426062,81.05540289,DESIGN GROUP
#N/A,UPRERAPRJ407418,JUGAL KISHORE & NDBG SAGE CITY LLP,Residential,THE SAGE CITY,Uttar Pradesh,Lucknow,30-07-2019,9/3/2024,Sarojini Nagar,100659,26.879641,80.56982,DESIGNER WING
#N/A,UPRERAPRJ596460,TANMAY PROJECTS LLP (FORMERLY TANMAY PROJECTS PRIVATE LIMITED),Commercial,DWARIKA STREET,Uttar Pradesh,Agra,24-02-2023,10/8/2027,Agra,1740,27.193731,77.93201,Kwanit Sharma
R344889,UPRERAPRJ950870,GULSHAN HOMZ PRIVATE LIMITED,Residential,GULSHAN DYNASTY,Uttar Pradesh,Gautam Buddha Nagar,19-11-2019,30-11-2024,Gautam Buddha Nagar,23504,282950.06,772618.03,VISHAL SHARMA
#N/A,UPRERAPRJ6974,UNNATI FORTUNE HOLDINGS LTD,Residential,THE ARANYA PHASE 2,Uttar Pradesh,Gautam Buddha Nagar,31-07-2017,30-04-2018,Gautam Buddha Nagar,15900,28 35'23.90' N,77 24'08.59' E,
#N/A,UPRERAPRJ4817,JAVIN CONSTRUCTION PRIVATE LIMITED,Residential,RAJ EMPIRE (PHASE-I),Uttar Pradesh,Ghaziabad,5/8/2017,25-01-2018,Ghaziabad,10500,"28,42,35 N","77,25,05 E",PREM CHAND TURAI
R50678,UPRERAPRJ9777,M/S SHALIMAR CORP LTD.,Residential,SHALIMAR PARADISE PHASE-1,Uttar Pradesh,Barabanki,12/8/2017,30-12-2018,Nawabganj,48254,26.899636,81.10873,JSR Architecture Interioors
#N/A,UPRERAPRJ521563/04/2024,"OMAXE LIMITED
ADVAY PROPERTIES PRIVATE LIMITED",Residential,OMAXE GH-6 PHASE-2,Uttar Pradesh,Lucknow,23-04-2024,16-08-2028,Sarojini Nagar,995,26.814063,80.992341,Apurba Borah
#N/A,UPRERAPRJ15467,SANSKAR HOUSING & DEVELOPERS,Residential,SANSKAR VALLEY,Uttar Pradesh,Jhansi,20-03-2018,26-02-2023,Jhansi,52477,25.454788,78.645286,LANTERN ARCHITECTS
#N/A,UPRERAPRJ744618/10/2024,"SONAL INFRAVENTURE
ASHUTOSH TIWARI
RAJEEV TIWARI
SHIVANSH TIWARI",Residential,SONAL PALMS,Uttar Pradesh,Prayagraj,4/10/2024,30-04-2029,Phulpur,11448,25.430543,81.925078,Ar. MANISH GUJRAL
#N/A,UPRERAPRJ3111,ATS REALTY PRIVATE LIMITED,Residential,ATS HEDGES - PH1,Uttar Pradesh,Gautam Buddha Nagar,31-07-2017,12/10/2024,Gautam Buddha Nagar,17893,28.286903,77.557787,Ar. Gaurav Sood
R2470,UPRERAPRJ4670,BCC INFRASTRUCTURES PRIVATE LIMITED,Residential,BHARAT CITY-2A,Uttar Pradesh,Ghaziabad,11/8/2017,31-01-2020,Ghaziabad,53000,28.726382,77.339064,Anuj Agarwal Architects Private Limited
R315715,UPRERAPRJ5430,OMAXE GARV BUILTECH PRIVATE LIMITED (FOMERLY GARV BUILDTECH PRIVATE LIMITED),Residential,OMAXE METRO CITY (HITECH TOWNSHIP) P8,Uttar Pradesh,Lucknow,29-07-2017,31-12-2024,Lucknow,215822,26.723721,80.944936,PRAKASH KUMAR 
#N/A,UPRERAPRJ355095/05/2024,"ANSAL IT CITY & PARKS LIMITED
MAHALUXMI BUILDTECH LIMITED
MAHALUXMI INFRAHOME PVT LTD",Commercial,MIGSUN CENTRAL MARKET,Uttar Pradesh,Gautam Buddha Nagar,1/5/2024,17-10-2028,Gautam Buddha Nagar,13349,28.47529,77.52232,Kulmeet Shangari
#N/A,UPRERAPRJ10533,"IITL-NIMBUS THE HYDE PARK,NOIDA",Residential,IITL-NIMBUS THE HYDE PARK NOIDA (COMMERCIAL -HYDE,Uttar Pradesh,Gautam Buddha Nagar,14-08-2017,31-03-2018,Gautam Buddha Nagar,600,28.56406,77.388595,M/S. NATIONAL ARCHITECTS & ENGINEERS
#N/A,UPRERAPRJ10308,STARTLE INFRASTRUCTURE PRIVATE LIMITED,Commercial,DELTA CITY CENTRE,Uttar Pradesh,Gautam Buddha Nagar,13-08-2017,9/10/2019,Gautam Buddha Nagar,1400,28.483522,77.525833,KHURSHEED AHMED MALIK
#N/A,UPRERAPRJ594236,DR SATYENDRA VERMA,Residential,GREENWOOD ESTATE,Uttar Pradesh,Muzaffarnagar,5/3/2022,30-06-2026,Shamli **,30590,29.4564411,77.3273358,AR GARIMA SINGH
#N/A,UPRERAPRJ180127,IITL-NIMBUS THE EXPRESS PARK VIEW,Commercial,THE PARK STREET,Uttar Pradesh,Gautam Buddha Nagar,31-10-2019,31-03-2021,Gautam Buddha Nagar,1426,28.430578,77.504507,HIMANSHU CHOPRA OF MS. GIAN P. MATHUR AND ASSOCIATES PRIVATE LIMITED
#N/A,UPRERAPRJ3901,JAYPEE INFRATECH LIMITED,Residential,"JAYPEE GREENS KLASSIC - A (PHASE II), NOIDA",Uttar Pradesh,Gautam Buddha Nagar,28-07-2017,31-03-2019,Gautam Buddha Nagar,40128,28^ 30' 42'',77^ 23' 02'',M/s GIAN P MATHUR
R743,UPRERAPRJ4466,LOGIX INFRASTRUCTURE PVT.LTD.,Residential,"BLOSSOM COUNTY ( PHASE-4 TOWER -L,M,A & C)",Uttar Pradesh,Gautam Buddha Nagar,31-07-2017,31-08-2019,Gautam Buddha Nagar,22135,774135 E,28.5092 N,
R797,UPRERAPRJ8334,SUPERTECH LIMITED,Residential,SUPERTECH ECO VILLAGE-I PHASE I-C,Uttar Pradesh,Gautam Buddha Nagar,9/8/2017,30-12-2017,Gautam Buddha Nagar,35786,28.579507,77.439861,Space Designer International
R312785,UPRERAPRJ919772,OMEGA DEVELOPER AND BUILDERS,Residential,WINDSOR GREENS PHASE-2,Uttar Pradesh,Lucknow,31-08-2019,30-06-2024,Lucknow,7464,26.896708,81.072256,Ar. Vishal Mittal
R1084,UPRERAPRJ8592,PANCHSHEEL BUILDTECH PVT. LTD.,Residential,"PANCHSHEEL GREENS - II (TOWER - D1,D2& E5)",Uttar Pradesh,Gautam Buddha Nagar,12/8/2017,31-08-2021,Select,8922,"28,36,22","77,27,33",Oasis Designs incorporated
#N/A,UPRERAPRJ621633,"RISE PROJECTS PVT LTD
EUPHORIA SPORTS CITY PRIVATE LIMITED",Residential,"RISE SPORTS VILLAS , SUPER 30 VILLAS",Uttar Pradesh,Gautam Buddha Nagar,20-01-2020,30-06-2023,Gautam Buddha Nagar,20000,28.58092659,77.4315457,Rachit Sharma
R329835,UPRERAPRJ171530,SCC BUILDERS PVT. LTD.,Commercial,"SCC BLOSSOM (PMAY) COMMERCIAL BLOCK, NURSING HOME AND NURSERY SCHOOL",Uttar Pradesh,Ghaziabad,23-04-2019,31-08-2022,Ghaziabad,2872,28.705489,77.436161,ANUJ AGARWAL ARCHITECTS
#N/A,UPRERAPRJ619189/07/2024,MAHARAJA BUILDTECH,Residential,MAHARAJA MADHUVAN,Uttar Pradesh,Mathura,10/7/2024,31-03-2029,Mathura,23292,27.478209,77.63089,SHASHANK GARG
#N/A,UPRERAPRJ454215,SAVIOUR BUILDERS PRIVATE LIMITED,Commercial,LORD KRISHNA MART,Uttar Pradesh,Gautam Buddha Nagar,9/10/2019,31-12-2022,Gautam Buddha Nagar,5000,28.30217345,77.55982683,KAILASH AGGARWAL-A PLUS DESIGN ASSOCIATES
#N/A,UPRERAPRJ8249,SUPERTECH LIMITED,Residential,SUPERTECH UPCOUNTRY GH-01 PHASE-02,Uttar Pradesh,Gautam Buddha Nagar,9/8/2017,30-06-2019,Gautam Buddha Nagar,33859,28.369268,77.550723,Space Designers International
R2738,UPRERAPRJ3772,UPPAL CHADHA HI-TECH DEVELOPERS PVT. LTD.,Residential,UCHDPL-SECTOR-2-PRIME FLOORS,Uttar Pradesh,Ghaziabad,28-07-2017,31-05-2019,Ghaziabad,11552,28.66855,77.48724,Niraj Kumar Nanda
R28288,UPRERAPRJ368818,OMAXE LIMITED,Residential,"GH-4 (RESIDENCY-II) PHASE-3, OMAXE INTEGRATED TOWNSHIP",Uttar Pradesh,Lucknow,1/1/2019,31-10-2023,Sarojini Nagar,2908,26.811927,80.994314,Mr. Kamal Kishore
#N/A,UPRERAPRJ9261,SANCHAR ARCADE SAHKARI AWAS SAMITI LTD,Residential,SANCHAR ARCADE SAHKARI AWAS SAMITI LTD,Uttar Pradesh,Ghaziabad,11/8/2017,31-07-2018,Ghaziabad,10034,77.26.42.9E,28.43.24.7N,Anuj Agrawal Architects Private Ltd.
R293555,UPRERAPRJ5429,OMAXE GARV BUILTECH PRIVATE LIMITED (FOMERLY GARV BUILDTECH PRIVATE LIMITED),Residential,OMAXE METRO CITY (HITECH TOWNSHIP) P6,Uttar Pradesh,Lucknow,13-08-2017,31-12-2024,Lucknow,71062,26.718148,80.939392,PRAKASH KUMAR 
R410631,UPRERAPRJ442214,LAVISH BUILDMART PVT. LTD.,Mixed,M3M THE CULLINAN,Uttar Pradesh,Gautam Buddha Nagar,2/6/2023,10/4/2028,Gautam Buddha Nagar,46205,28.55313333,77.32735833,Vishal Sharma
R397089,UPRERAPRJ422981,UPPAL CHADHA HI-TECH DEVELOPERS PVT. LTD.,Residential,UCHDPL-ELIGO,Uttar Pradesh,Ghaziabad,9/8/2022,22-03-2027,Ghaziabad,17089,28.641687,77.506894,Niraj Kumar Nanda 
#N/A,UPRERAPRJ11484,NARAYANHARI SHELTER PRIVATE LIMITED,Residential,GURU KRIPA TOWN,Uttar Pradesh,Agra,15-08-2017,5/4/2020,Agra,3766, 27' 6'26.74'N, 78' 1'35.43'E,B S SIKARWAR 
R28288,UPRERAPRJ1682,OMAXE LIMITED,Residential,"GH-4 (RESIDENCY-II) PHASE-1,OMAXE INTEGRATED TOWNS",Uttar Pradesh,Lucknow,27-07-2017,31-12-2021,Lucknow,48592,26.810761,80.995723,PRAKASH KUMAR
R329835,UPRERAPRJ260266/09/2024,SCC BUILDERS PVT. LTD.,Residential,SCC BLOSSOM BLOCK A AND B,Uttar Pradesh,Ghaziabad,14-09-2024,20-03-2029,Ghaziabad,4703,28.705489,77.436161,ANUJ AGARWAL ARCHITECTS
#N/A,UPRERAPRJ4890,PANCH TATVA PROMOTERS PRIVATE LIMITED,Residential,GALAXY VEGA - TOWER F&G AND CSC GREEN ARCADE,Uttar Pradesh,Gautam Buddha Nagar,31-07-2017,2/10/2018,Gautam Buddha Nagar,5385,28.59256915,77.45631044,Space Design International
R1084,UPRERAPRJ8547,PANCHSHEEL BUILDTECH PVT. LTD.,Residential,"PANCHSHEEL GREENS -II (TOWER - A1 TO A6,B1 TO B7)",Uttar Pradesh,Gautam Buddha Nagar,12/8/2017,6/6/2018,Gautam Buddha Nagar,41478,"28,36,22","77,27,33",Oasis Designs incorporated
R1084,UPRERAPRJ8584,PANCHSHEEL BUILDTECH PVT. LTD.,Residential,"PANCHSHEEL GREENS-II(TOWER - E1 TO E4,COMMERCIAL,N",Uttar Pradesh,Gautam Buddha Nagar,12/8/2017,31-08-2020,Gautam Buddha Nagar,19631,"28,36,22","77,27,33",Oasis Designs incorporated
#N/A,UPRERAPRJ526534,SUPERTECH REALTORS PRIVATE LIMITED,Commercial,SUPERNOVA PHASE-IV (RETAIL/COMMERCIAL),Uttar Pradesh,Gautam Buddha Nagar,29-05-2019,28-04-2023,Gautam Buddha Nagar,15878,29.1417703,77.336962,Modarch India
#N/A,UPRERAPRJ7429,R. R. DWELLINGS PVT LTD,Residential,CELEBRITY GARDENS BLOCK Q,Uttar Pradesh,Lucknow,31-07-2017,30-09-2018,Lucknow,3422,26.769006 N,26.770065 N,Viresh Kumar
R417345,UPRERAPRJ160941,SUPREME REALESTATE DEVELOPERS PRIVATE LIMITED,Commercial,SHALIMAR SKY GARDEN,Uttar Pradesh,Lucknow,23-09-2023,25-10-2028,Lucknow,13058,26.872849,80.999595,Mr. Rudraksha Charan (42MM Architecture)
R400436,UPRERAPRJ115902,"THEMECOUNTY PRIVATE LIMITED
AMBIENCE PRIVATE LIMITED",Residential,IVORY COUNTY PHASE-2,Uttar Pradesh,Gautam Buddha Nagar,26-07-2023,31-12-2028,Gautam Buddha Nagar,21311,28.335717,77.240579,Vishal Sharma
#N/A,UPRERAPRJ364061,RGB INFRA LLP,Commercial,SAYA PIAZZA,Uttar Pradesh,Gautam Buddha Nagar,26-11-2021,20-10-2026,Gautam Buddha Nagar,6972,28.51473,77.36443,Ateesh Agarwal - Brij India Architects
R4564,UPRERAPRJ6492,TRIDENT INFRA HOMES PVT. LTD.,Residential,"TRIDENT EMBASSY PHASE-3 (TOWERS J,K,L & COMM)",Uttar Pradesh,Gautam Buddha Nagar,31-07-2017,31-12-2021,Gautam Buddha Nagar,7498,28.57106452,77.44639679,ANDLEYS ASSOCIATES PVT LTD
#N/A,UPRERAPRJ8072,PAARTH INFRABUILD PRIVATE LIMITED,Residential,GOLDFINCH PHASE-2,Uttar Pradesh,Lucknow,3/8/2017,31-12-2022,Lucknow,2475,80 50 34,26 42 56,Rudrabhishek Enterprises Pvt. Ltd.
#N/A,UPRERAPRJ962033,"HIGHNESS CONSTRUCTION
ASHRAY VENTURES PRIVATE LIMITED",Commercial,SUMMIT TWIN TOWER,Uttar Pradesh,Lucknow,19-09-2022,7/9/2028,Lucknow,6758,26.7881,81.0051,ALPANA BHARGAVA - JSR ARCHITECTURE AND INTERIORS 
R69286,UPRERAPRJ5602,KG CONSTRUCTIONS,Residential,CELEBRITY MEADOWS TOWER N,Uttar Pradesh,Lucknow,10/8/2017,5/12/2019,Lucknow,2508,264612.92,805950.15,REPL
R270000,UPRERAPRJ5448,LAND KART BUILDERS PRIVATE LIMITED,Residential,EUREKA PARK-PHASE 1,Uttar Pradesh,Gautam Buddha Nagar,11/8/2017,31-03-2023,Gautam Buddha Nagar,48422,28'25'8.55'N,77'29'14.42'E,Kulmeet Shangari
R376075,UPRERAPRJ865343,UPPAL CHADHA HI-TECH DEVELOPERS PVT. LTD.,Residential,UCHDPL-VERIDIA-4-OAKWOOD ENCLAVE,Uttar Pradesh,Ghaziabad,1/10/2022,28-12-2025,Ghaziabad,15768,28.6603,77.4962,Niraj Kumar Nanda 
#N/A,UPRERAPRJ16313,SKYNET INFRAVENTURES PVT. LTD.,Residential,GALAXY SHANTI NIKETAN,Uttar Pradesh,Prayagraj,5/6/2018,28-05-2021,Allahabad **,2842,25.448447,81.838029,MR. S.G.PAUL
#N/A,UPRERAPRJ10669,ROSSARI CONSTRUCTIONS PVT LTD,Residential,GOLDEN AVENUE,Uttar Pradesh,Meerut,14-08-2017,30-04-2022,Mawana,4561,29.09227849,77.87503068,SANDEEP TANDON
#N/A,UPRERAPRJ140979,"THE INNOVATORS DIGITAL ADS PVT. LTD
THE INNOVATORS DIGITAL ADS PVT. LTD.",Residential,SOLITAIRE GRANDE,Uttar Pradesh,Prayagraj,8/1/2020,26-11-2024,Allahabad **,6150,25.40380127,81.75042034, DEEPAK MEHTA
R5968,UPRERAPRJ6255,RG RESIDENCY PVT. LTD,Residential,RG RESIDENCY TOWER - P (RG SQUARE ),Uttar Pradesh,Gautam Buddha Nagar,1/8/2017,31-03-2019,Gautam Buddha Nagar,976,28*35'19N,77*23'53E,
#N/A,UPRERAPRJ212643,SANFRAN DEVELOPER PRIVATE LIMITED,Residential,SANFRAN ASHOK CITY EXTENSION,Uttar Pradesh,Jhansi,10/8/2020,3/1/2025,Jhansi,12110,25.2917,78.3428,JAYESH SAGAR
#N/A,UPRERAPRJ780870/08/2024,OMAXE GARV BUILTECH PRIVATE LIMITED (FOMERLY GARV BUILDTECH PRIVATE LIMITED),Commercial,"COMMERCIAL-3, BLOCK-1 AND BLOCK 2",Uttar Pradesh,Lucknow,26-08-2024,14-04-2029,Sarojini Nagar,2642,26.4318,26.4322,Apurbha Borah
R49332,UPRERAPRJ7457,HIGH END INFRATECH PRIVATE LIMITED,Residential,WINDSOR PARADISE-II (BLOCK-G),Uttar Pradesh,Ghaziabad,31-07-2017,30-09-2021,Ghaziabad,1306,28 42' 27.79' N,77 25' 25.82' E,ANUJ AGARWAL
#N/A,UPRERAPRJ5655,AJNARA INDIA LIMITED,Residential,HERITAGE TOWER K (CLOCK TOWER & CENTRAL PLAZZA),Uttar Pradesh,Gautam Buddha Nagar,31-07-2017,31-12-2020,Gautam Buddha Nagar,5155,28.572431,77.391345,AR. VISHAL MITTAL
R2274,UPRERAPRJ5931,IV COUNTY PVT LTD,Residential,"CLEO COUNTY, PH 1 ( COMPRISING OF TOWER D1 D2 C1 C",Uttar Pradesh,Gautam Buddha Nagar,31-07-2017,31-08-2018,Gautam Buddha Nagar,27502,28.598451,77.391327,"MR VISHAL SHARMA	"
#N/A,UPRERAPRJ7603,SJP RESIDENCY CONSORTIUM LIMITED,Residential,SHRI RADHA VINTAGE (PHASE-1),Uttar Pradesh,Mathura,13-08-2017,31-03-2019,Mathura,18463,27 29 57 01 N,77 37 2 84 E,VIRENDER ASSOCIATES
R14046,UPRERAPRJ936659,E HOMES INFRASTRUCTURE PVT LTD,Commercial,THE JEWEL OF NOIDA (PHASE IV) - AVENUES AT BURJ NOIDA,Uttar Pradesh,Gautam Buddha Nagar,2/2/2019,4/11/2028,Gautam Buddha Nagar,698,28.575438,77.381541,DESIGNARCH CONSULTANTS PVT. LTD.
#N/A,UPRERAPRJ6085,MR PROVIEW REALTECH PRIVATE LIMITED,Residential,OFFICER CITY-2 (PHASE-1),Uttar Pradesh,Ghaziabad,31-07-2017,28-03-2019,Modinagar,9282,28 42' 11.00' N,77 25' 25.40' E,ANUJ AGARWAL 
#N/A,UPRERAPRJ380846,OMAXE PANCHAM REALCON PVT. LTD. (FOMERLY PANCHAM REALCON PVT. LTD.),Commercial,OMAXE CITY SANGAM PLAZA,Uttar Pradesh,Prayagraj,9/10/2023,30-05-2028,Allahabad **,1981,25.39000546,81.89032475,Apurba Bohra 
R4006,UPRERAPRJ513636,RAJESH PROJECTS (INDIA) PVT. LTD,Residential,TOWERS I AND J (R G LUXURY HOMES),Uttar Pradesh,Gautam Buddha Nagar,27-02-2019,31-03-2026,Dadri,9168,28'36'17' N,77'26'59' E,Bafna Associates
#N/A,UPRERAPRJ5968,THREE C GREEN DEVELOPERS PRIVATE LIMITED,Residential,LOTUS YARDSCAPE PHASE I,Uttar Pradesh,Gautam Buddha Nagar,14-08-2017,31-12-2020,Gautam Buddha Nagar,142310,28'33'43.43'N,77'23'52.68'E,Kulmeet Shangari
#N/A,UPRERAPRJ165336,"VANSHIKA VEDANT DEVELOPERS LLP
BALA DEVI",Commercial,VVD-BLOOM,Uttar Pradesh,Ghaziabad,10/6/2023,26-12-2027,Ghaziabad,1221,28.70388889,77.41138889,Anuj Agarwal
#N/A,UPRERAPRJ877,SG ESTATES PRIVATE LIMITED,Residential,SG OASIS,Uttar Pradesh,Ghaziabad,27-07-2017,31-12-2018,Ghaziabad,4443,284012N,772244E,Space Designers International Architects Pvt Ltd.
R325311,UPRERAPRJ323529,RISHITA DEVELOPERS PRIVATE LIMITED,Residential,RISHITA MULBERRY HEIGHTS PHASE 2,Uttar Pradesh,Lucknow,17-10-2019,31-03-2023,Sarojini Nagar,3890,26.780753,81.008875,Design Forum International
#N/A,UPRERAPRJ12692,SVS DEVELOPERS,Residential,APPLE RESIDENCY,Uttar Pradesh,Kanpur Nagar,29-09-2017,24-12-2020,Kanpur,4896,26 31'21.23' N,80 15'31.10' E,Uma Shanker
R8874,UPRERAPRJ5863,SUPERTECH TOWNSHIP PROJECT LIMITED,Residential,SUPERTECH GOLF COUNTRY (PHASE-III),Uttar Pradesh,Gautam Buddha Nagar,14-08-2017,31-12-2019,Gautam Buddha Nagar,36456,28.300814,77.543903,SPACE DESIGNERS INTERNATIONAL 
