XID,Name,URL,Configurations,Avg. Price,Project Area,Possession Starts,Project Size,Possession Status,Sizes,Launch Date,Configuration,Size,RERA,Address,Prices,Builder,Amenities
r409908,Fairland Phase I,https://housing.com/buy-fairland-phase-i-by-cinco-realtors-in-chettipalayam-coimbatore-pid-300179,"Residential Plot, 2, 3 BHK Villas",2.08 K/sq.ft,N/A,N/A,N/A,Ready to Move,597 - 5418 sq.ft.,N/A,N/A,N/A,TN/11/Layout/1543/2023 dated 05/05/2023,"Chettipalayam, Coimbatore",12.68 L - 1.1 Cr,ByCinco Realtors,"24X7 Water Supply, Power Backup"
r413382,Shriram Solitaire,https://housing.com/in/buy/projects/page/289533-shriram-solitaire-by-shriram-properties-limited-in-yelahanka-new-town,"2, 2.5 BHK Apartments",8.2 K/sq.ft,3.09 Acres,N/A,1 Building,Ready to Move,1045 - 1235 sq.ft.,N/A,N/A,N/A,TOR/PRM/KA/RERA/1251/309/PR/221116/000068,"Yelahanka, North Bangalore, Bangalore",85.87 L - 1.01 Cr,ByShriram Properties,"Children's Play Area, Amphitheater, Yoga / Meditation Area, Barbecue Area, Gazebo, Swimming Pool, Lift(s), Landscaping & Tree Planting, Badminton Court, Table Tennis, Kid's Pool"
r376088,Smartworld Orchard,https://housing.com/in/buy/projects/page/255340-smartworld-orchard-by-smartworld-developers-in-sector-61,"2.5, 3, 3.5 BHK Builder Floors",14.43 K/sq.ft,25 Acres,"Dec, 2024",1 Building - 800 units,N/A,1100 - 1800 sq.ft.,"Oct, 2021",N/A,N/A,RERA-GRG-1121-2022,"Golf Course Extension Road, Opposite Grand Hyatt, Sector 61, Golf Course Extension Road, Gurgaon",1.59 Cr - 2.6 Cr,BySmartworld Developers,"Waiting Lounge, Amphitheater, Sauna Bath, Gazebo, Spa, Swimming Pool, Mini Theatre, Gymnasium, Fire Fighting System, Medical Store/Pharmacy, Medical Facilities"
r235520,Fortune Butterfly City,https://housing.com/in/buy/projects/page/30278-fortune-butterfly-city-by-fortune-infra-developers-in-kadthal,N/A,12 K/sq.yd,N/A,N/A,516 units,Ready to Move,200 - 500 sq.yd.,"Nov, 2011",Residential Plots,N/A,Rera Not Applicable,"Opposite Mucherla Pharmacity, Kadthal, South Hyderabad, Hyderabad",23.99 L - 59.99 L,ByFortune Infra Developers,"Natural Pond, Internet / Wi-Fi, Volleyball Court, Tennis Court, Swimming Pool, Fountains, Vastu Compliant, Landscaping & Tree Planting, Water Storage, Gymnasium, School"
r300077,Elevate At Godrej Se7en,https://housing.com/buy-elevate-at-godrej-se7en-by-godrej-properties-ltd-in-hanspukuria-kolkata-pid-95412,"2, 3 BHK Apartments",Price on request,2.37 Acres (40% open),"Dec, 2028",2 Buildings - 200 units,N/A,817 - 1382 sq.ft.,"Aug, 2021",N/A,N/A,"WBRERA/P/SOU/2023/000015, WBRERA/P/SOU/2024/001051","Diamond Harbour Road. Hanspukuria, Joka, Diamond Harbour Road-Thakurpukur, Kolkata",53.0 L - 85.0 L,ByGodrej Properties Ltd.,"Amphitheater, Cricket Pitch, Volleyball Court, Changing Room, Spa, Skating Rink, Table Tennis, Kid's Pool, Medical Store/Pharmacy, Car Parking, 24X7 Water Supply"
r398124,Alaya Belmonte,https://housing.com/buy-alaya-belmonte-by-mount-group-in-chharodi-ahmedabad-pid-281779,N/A,48.57 K/sq.yd,1.1 Acres,"Jul, 2024",3 Buildings - 162 units,N/A,N/A,"Jul, 2022",3 BHK Apartment,210 sq.yd.,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MN106AA10006/110722,"B/H Vandemataram Fabula, Nr. Malabar County -1, B/h Nirma University, Chharodi, North West, Ahmedabad",1.02 Cr,ByMount Group,"Children's Play Area, Entrance Lobby, Lift(s), Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, Fire Fighting System, Reserved Parking, 24X7 Water Supply, Jogging Track, Multipurpose Hall, Gated Community"
r429474,RLD Merlion Estate,https://housing.com/in/buy/projects/page/330572-rld-merlion-estate-by-royal-land-developers-pvt-ltd-in-vanagaram,N/A,8 K/sq.ft,20 Acres,N/A,60 units,Ready to Move,969 - 2633 sq.ft.,"Aug, 2024",Residential Plots,N/A,TN/2/Layout/3688/2024,"Noombal Road, Vanagaram, Chennai west, Chennai",77.51 L - 2.11 Cr,ByRoyal land & Developers Pvt Ltd,"Recreation Facilities, Solid Waste Management And Disposal, Football Field, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, Footpaths/Pedestrian, 24x7 CCTV Surveillance, Electrification(Transformer, Solar Energy etc), Community Buildings, Closed Car Parking, Street Lighting"
r417614,Manjunatha MGR Windsor Gardens,https://housing.com/in/buy/projects/page/308987-manjunatha-mgr-windsor-gardens-by-sri-manjunatha-developers-in-jp-nagar,"2, 3 BHK Apartments",7.13 K/sq.ft,N/A,"Dec, 2025",1 Building - 36 units,N/A,1210 - 1777 sq.ft.,"Oct, 2023",N/A,N/A,PRM/KA/RERA/1251/310/PR/171023/006341,"Ward No 187, JP Nagar, South Bangalore, Bangalore",87.12 L - 1.25 Cr,BySri Manjunatha Developers,"Children's Play Area, Vastu Compliant, Landscaping & Tree Planting, Lift(s), Party Hall, Water Conservation, Rain water Harvesting, 24x7 CCTV Surveillance, Gymnasium, 24X7 Water Supply, Closed Car Parking, Jogging Track"
r386987,DS Max Sukruth,https://housing.com/in/buy/projects/page/273409-ds-max-sukruth-by-dsmax-properties-private-limited-in-madivala,"2, 3 BHK Apartments",4 K/sq.ft,2.54 Acres,"Feb, 2026",1 Building - 304 units,N/A,849 - 1240 sq.ft.,"Feb, 2022",N/A,N/A,PRM/KA/RERA/1251/308/PR/280222/004739,"Iggalur Village, Chandapura, South Bangalore, Bangalore",33.96 L - 49.6 L,ByDS-MAX Properties Private Limited,"Sub-Station, Swimming Pool, Water Conservation, Rain water Harvesting, Fire Escape Staircases, Gymnasium, Closed Car Parking, 24X7 Water Supply, Gated Community, Indoor Games, Sewage Treatment Plant, Club House"
r393335,Sri Balajis Saphire,https://housing.com/in/buy/projects/page/278176-sri-balajis-saphire-by-sri-balaji-associates-in-maduravoyal,"2, 3 BHK Apartments",Price on request,N/A,"Aug, 2026",N/A,N/A,822 - 1461 sq.ft.,"May, 2022",N/A,N/A,TN/29/Building/0175/2022 dated 20/05/2022,"S Nos.216/4 & 217/4 Of Maduravoyal, Chennai west, Chennai",Price on Request,BySri Balaji Associates,"Children's Play Area, 24X7 Water Supply, Car Parking, Gated Community, Swimming Pool, Fire Sprinklers, Rain Water Harvesting, Power Backup, Gymnasium, Club House"
r405295,Sapnil Residency Noapara,https://housing.com/buy-sapnil-residency-noapara-by-sapnil-developers-in-baranagar-kolkata-pid-308566,"1, 2, 3 BHK Apartments",4.3 K/sq.ft,2.17 Acres,"Oct, 2028",3 Buildings - 210 units,N/A,572 - 1517 sq.ft.,"Sep, 2023",N/A,N/A,WBRERA/P/NOR/2023/000588,"37 A, A. K. Mukherjee Road, Noapara, Baranagar, Kolkata",24.6 L - 65.23 L,BySapnil Developers,"Amphitheater, Solar Lighting, Swimming Pool, Fire Sprinklers, Gymnasium, Car Parking, Closed Car Parking, 24X7 Water Supply, Jogging Track, Senior Citizen Siteout, Gated Community"
r434608,Eldeco Fairway Reserve,https://housing.com/in/buy/projects/page/332463-eldeco-fairway-reserve-by-eldeco-infrastructure-properties-limited-in-sector-80,N/A,15.48 K - 17 K/sq.ft,8.34 Acres (85% open),"Nov, 2028",3 Buildings - 325 units,N/A,N/A,"Sep, 2024",4 BHK Apartment,2875 sq.ft.,GGM/880/612/2024/107,"Sector 80, New Gurgaon, Gurgaon",4.45 Cr - 4.89 Cr,ByEldeco Infrastructure & Properties Limited,"Amphitheater, Tennis Court, Gazebo, Spa, Reflexology Park, Swimming Pool, Open Gym, Landscaping & Tree Planting, Table Tennis, Mini Theatre, Gymnasium"
r56710,Meenakshi Classic,https://housing.com/in/buy/projects/page/132371-meenakshi-classic-by-s-balan-group-in-hsr-layout,"2, 3 BHK Apartments",13.66 K/sq.ft,N/A,"Jan, 2005",N/A,N/A,800 - 1800 sq.ft.,"Feb, 2004",N/A,N/A,Rera Not Applicable,"Off Ring Road, HSR Layout 1st Sector, Bangalore, South Bangalore, Bangalore",1.09 Cr - 2.46 Cr,ByS. Balan Group,"Children's Play Area, Internet / Wi-Fi, Recreation Facilities, Swimming Pool, Vastu Compliant, Lift(s), Landscaping & Tree Planting, Gymnasium, Car Parking, Jogging Track, Community Hall"
r51192,Krishna Kalyan Garden View,https://housing.com/buy-krishna-kalyan-garden-view-by-krishna-colonisers-pvt-ltd-in-indira-nagar-lucknow-pid-14956,N/A,5 K/sq.ft,N/A,N/A,80 units,Ready to Move,1184 - 2960 sq.ft.,"Jan, 2011",N/A,N/A,N/A,"Sector 24, Indira Nagar, Sitapur Road, Lucknow",59.2 L - 1.48 Cr,ByKrishna Colonisers Pvt Ltd,"Children's Play Area, Vastu Compliant, Lift(s), Landscaping & Tree Planting, Gymnasium, Car Parking, 24X7 Water Supply, Jogging Track, Sports Facility, 24x7 Security, Power Backup"
r24280,Runwal Forests Tower 9 To 11,https://housing.com/in/buy/projects/page/51652-runwal-forests-tower-9-to-11-by-runwal-group-in-kanjurmarg-west,"1, 1.5, 2, 3 BHK Apartments",Price on request,0.45 Acres,"Jul, 2023",3 Buildings - 829 units,N/A,430 - 1193 sq.ft.,"Oct, 2014",N/A,N/A,P51800001137,"Near Mangatram Petrol Pump Lal Bahadur Shastri Marg, Kanjurmarg, Central Mumbai Suburbs, Mumbai",1.15 Cr - 3.19 Cr,ByRunwal Group,"Cricket Pitch, Tennis Court, Skating Rink, Swimming Pool, Landscaping & Tree Planting, Mini Theatre, Gymnasium, Flower Garden, Squash Court, Car Parking, Jogging Track"
r294633,Codename Skywards,https://housing.com/in/buy/projects/page/97213-codename-skywards-by-jp-corp-in-ambernath-east,"2, 3 BHK Apartments",10.93 K/sq.ft,4 Acres,"Dec, 2025",2 Buildings - 241 units,N/A,706 - 1230 sq.ft.,N/A,N/A,N/A,P51700013871,"Codename Skywards, Opposite Pentecostal Church, Near Rangoli Hotel, Beyond Thane, Ambernath",77.17 L - 1.34 Cr,ByJP Corp,Closed Car Parking
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
