Project Name,Builder Name,Project Address,Avg Price psft,Completion date,Sizes,Project Area,RERA,Project Size - Tower Count,Project Size - Unit Count,Configurations,Amenities - Count,Amenities - List,Photos Count,Videos Count,Total Count,Review Count,Builder-Established Date,Builder-Project count,Builder description,Possession Status,Launch Date
Logix Blossom County,LOGIX GROUP,"Sector 137, Noida-Greater Noida Expressway, Noida",Not Found,Price on request,660 - 3738 sq.ft.,25 Acres,UPRERAPRJ4466,,1600,"2, 3, 4 BHK Apartments",44,"Tennis Court, Spa, Swimming Pool, Vastu Compliant, Landscaping & Tree Planting, Gymnasium, Fire Fighting System, Medical Store/Pharmacy, Medical Facilities, Golf Course, Closed Car Parking, Car Parking, 24X7 Water Supply, Multipurpose Room, Jogging Track, Street Lighting, Gated Community, Indoor Games, Cycling & Jogging Track, Sports Facility, Lawn Tennis Court, Sewage Treatment Plant, Club House, Children's Play Area, Service Lift, Yoga / Meditation Area, Security Cabin, Lift(s), 24x7 CCTV Surveillance, Multipurpose Hall, Community Hall, Basketball Court, Staff Quarter, Yoga / Meditation Area, Conference Room, Spa/Sauna/Steam, Banquet Hall, ATM, Rain Water Harvesting, Library, 24x7 Security, Jacuzzi, Power Backup, Cafeteria",Not Found,Not Found,Not Found,(46 reviews),1997,25,"With its hunger to excel in real estate industry, Logix Group has grown from a sapling into a strong tree with each passing day. Completion of projects and delivery as promised on time has been the key to their success and growth. Playing from past few years, the group has spread self-satisfied smiles on the faces of its customers. The customer satisfaction is the aim of the company and they have been striving hard since day one. With years of industry experience and a clear vision for the future, all projects are well planned, executed and implemented by an experienced team of professionals. Their designs are innovative and fresh and hence no two projects are ever the same. e82bda8c-4663-4bc2-ab6d-21b6b74bc1c5",Ready to Move,"Mar, 2010"
Panchsheel Greens 2,PANCHSHEEL GROUP,"Sector 16B, Noida Extension, Greater Noida",₹10.5 K/sq.ft,"Nov, 2026",915 - 1820 sq.ft.,26 Acres (65% open),"UPRERAPRJ8592, UPRERAPRJ8595, UPRERAPRJ8547, UPRERAPRJ8584",,4216,"2, 2.5, 3 BHK Apartments",103,"Gazebo, Valet Parking, Table Tennis, Mini Theatre, Business Suites, Medical Store/Pharmacy, Water Softner Plant, Car Parking, Senior Citizen Siteout, Cycling & Jogging Track, Shopping Mall, Piped Gas Connection, Business Center, Children's Play Area, Steam Room, Sports Area, Sports Complex, 24x7 CCTV Surveillance, Reserved Parking, Chess Board, Rain Water Harvesting, Laundromat, Jacuzzi, Sauna Bath, Reflexology Park, Garbage Disposal, Swimming Pool, Vastu Compliant, Gymnasium, Fire Fighting System, Flower Garden, Squash Court, Jogging Track, Gated Community, Utility Shops, Lawn Tennis Court, Anti-termite Treatment, Service Lift, Entrance Lobby, Yoga / Meditation Area, Bar/Chill-out Lounge, Football Field, Lift(s), Badminton Court, RO Water System, Restaurant, Multipurpose Hall, Staff Quarter, Internal Roads & Footpaths, ATM, Infinity Pool, Carrom, Power Backup, Dart Board, Amphitheater, Volleyball Court, Spa, Concierge Service, 24X7 Water Supply, Multipurpose Room, Indoor Games, Bowling Alley, Food Court, Hospital, Party Lawn, Sewage Treatment Plant, Intercom, Salon, Card Room, Visitor Parking, Water Sports, Community Hall, Vertical Garden, Maintenance Staff, Banquet Hall, Library, 24x7 Security, Cafeteria, Natural Pond, Waiting Lounge, Reading Lounge, Internet / Wi-Fi, Tennis Court, Landscaping & Tree Planting, Water Storage, Golf Course, School, Sports Facility, Club House, Doctor on call, Security Cabin, Aerobics Room, Terrace Garden, Creche/Day Care, Sun Deck, Video Door Security, High Speed Elevators, Basketball Court, Conference Room, Paved Compound, Car Wash Area, Solar Water Heating, Billiards / Snooker Table",Not Found,Not Found,Not Found,0,1989,45,"Panchsheel Group is a leading Indian Builder and Developer- leading with compelling impact towards excellence. With vision and experience in designing and building residential and commercial complexes, the Group exhibits the most superior standards in terms of quality and yet remains affordable to the masses. With the passing time & experience, the Group is giving new dimension to the whiteboard, getting recognized, respected and trusted in NCR.

This goodwill is the result of the company’s outstanding efforts and achievements over the nearly 3 decades. The Panchsheel Group is committed to provide finest homes to the masses designed aesthetically and valued at superlative standards. Panchsheel Group believes in a futuristic approach to strengthen this commitment to excellence in every aspect and in each project undertaken.

The Group is also committed towards realizing its motto of designing residential and commercial complexes for a progressive and modern India, yet adhering to traditional values, which according to us positively transforms the world and makes it a better place to live in.",Under Construction,
Emaar Gurgaon Greens,EMAAR,"Sector 102, Dwarka Expressway, Gurgaon",11.25 K - ₹11.82 K/sq.ft,"Dec, 2018",1650 - 3200 sq.ft.,13 Acres,36(A),,672,"3, 4 BHK Apartments",32,"Tennis Court, Solar Lighting, Swimming Pool, Fountains, Vastu Compliant, Landscaping & Tree Planting, Gymnasium, Fire Fighting System, Flower Garden, Golf Course, Car Parking, 24X7 Water Supply, Multipurpose Room, Jogging Track, Senior Citizen Siteout, Gated Community, Pergola, Shopping Mall, Lawn Tennis Court, Sewage Treatment Plant, Club House, Intercom, Children's Play Area, Lift(s), Badminton Court, Health Facilities, Multipurpose Hall, Basketball Court, Paved Compound, 24x7 Security, Cafeteria, Power Backup",Not Found,Not Found,Not Found,(28 reviews),2005,81,Emaar is a renowned realty company which came into existence since a long time now. They believe in building homes that provide customers with a fine living experience. The quality and creativity in the homes they build display their passion for delivering fine homes. Their team of well qualified and experienced professionals works hard and constantly enhance their skills to provide their clients with an optimal living experience.,Ready to Move,"Jul, 2012"
County,COUNTY GROUP,"GH-5, Sector 121, Noida",₹16.84 K/sq.ft,Ready to Move,1350 - 4455 sq.ft.,25 Acres,"UPRERAPRJ2369, UPRERAPRJ2437 & UPRERAPRJ5931",,2332,"3, 4 BHK Apartments",59,"Amphitheater, Cricket Pitch, Gazebo, Spa, Skating Rink, Fire Sprinklers, Table Tennis, Business Suites, Car Parking, 24X7 Water Supply, Senior Citizen Siteout, Indoor Games, Pergola, Shopping Mall, Hospital, Business Center, Intercom, Children's Play Area, Salon, Steam Room, Card Room, Spa/Sauna/Steam, Banquet Hall, Rain Water Harvesting, Jacuzzi, 24x7 Security, Cafeteria, Waiting Lounge, Reading Lounge, Tennis Court, Sauna Bath, Grocery Shop, Garbage Disposal, Swimming Pool, Vastu Compliant, Landscaping & Tree Planting, Gymnasium, Fire Fighting System, School, Golf Course, Jogging Track, Lawn Tennis Court, Club House, Entrance Lobby, Security Cabin, Yoga / Meditation Area, Lift(s), Aerobics Room, Creche/Day Care, Sun Deck, Video Door Security, Restaurant, Basketball Court, Staff Quarter, Conference Room, Paved Compound, ATM, Power Backup, Billiards / Snooker Table",Not Found,Not Found,Not Found,(38 reviews),9,Not Found,"A blend of contemporary lifestyle with fine living, County Group fulfills expectations of a modern mind and provides them with amenities that are way above ordinary. County Group has been established by the promoters of some of the landmark housing projects in NCR Delhi. Guided by the vision to establish new benchmarks they are pro-actively working towards taking it further while at the same time ensuring the value for money proposition. A hallmark of the Group is its commitment towards its customers. Moored on the twin bedrocks of quality and timely delivery, its customer-centric approach ensuresthat it maintains transparencyat every step and delivers what has been promised. Another aspect that makes County Groupstand apart is the painstaking effort it takes while scouting forlocations of its projects. It takes into consideration factors such as connectivity, accessibility, openness and availability of facilities including future development prospects in order to get its customers a lifestyle they aspire for. Underlying the ethos of CountyGroup is the belief that “a home of one’s own is the biggest dream of every Indian.As a result the company is always willing to take that extra step and deliver a home that is truly a dream home",Ready to Move,"Oct, 2012"
Luxury Homes Tower A F And M,RG GROUP,"Plot No. GH 07A, Sector 16B Noida Extension, Greater Noida",Not Found,"Mar, 2026",1229 - 1872 sq.ft.,18 Acres,UPRERAPRJ4815,,1920,"2, 2.5, 3 BHK Apartments",65,"Amphitheater, Skating Rink, Letter Box, Table Tennis, Kid's Pool, Medical Store/Pharmacy, Medical Facilities, Car Parking, 24X7 Water Supply, Multipurpose Room, Senior Citizen Siteout, Street Lighting, Indoor Games, Cycling & Jogging Track, Shopping Mall, Food Court, Sewage Treatment Plant, Intercom, Children's Play Area, Salon, Card Room, 24x7 CCTV Surveillance, Health Facilities, Spa/Sauna/Steam, Maintenance Staff, Library, Rain Water Harvesting, Facilities for Disabled, Laundromat, 24x7 Security, Cafeteria, Internet / Wi-Fi, Sauna Bath, Tennis Court, Solar Lighting, Swimming Pool, Vastu Compliant, Landscaping & Tree Planting, Gymnasium, Fire Fighting System, Squash Court, Jogging Track, Gated Community, Sports Facility, Lawn Tennis Court, Utility Shops, Club House, Entrance Lobby, Yoga / Meditation Area, Lift(s), Creche/Day Care, Badminton Court, Aerobics Room, Video Door Security, Multipurpose Hall, Basketball Court, Staff Quarter, Paved Compound, Solar Water Heating, Internal Roads & Footpaths, ATM, Carrom, Energy management, Power Backup, Billiards / Snooker Table",Not Found,Not Found,Not Found,0,2000,12,"RG Group is one of the leading real estate institutions, which has been working in the industry since the year 2000, with the notion of conducting transparent deals with the customer. Some of the esteemed projects that RG Group has constructed are, RG Mall, RG City Centre, RG Residency, RG Complex and a whole lot more, out of which, 9 property projects have been completely sold out. Trust RG Group for the best and the most unadulterated deals, with no hidden costs and a sure outcome of endless bliss!",Under Construction,"Dec, 2010"
Adani M2K Oyster Grande,Not Found,Not Found,Not Found,Not Found,1689 - 5800 sq.ft.,19 Acres (87% open),"37 OF 2017 & 171 OF 2017, 170 0F 2017",,890,Not Found,54,"Cricket Pitch, Changing Room, Spa, Table Tennis, Kid's Pool, Car Parking, 24X7 Water Supply, Multipurpose Room, Senior Citizen Siteout, Indoor Games, Shopping Mall, Party Lawn, Sewage Treatment Plant, Intercom, Children's Play Area, Salon, Card Room, 24x7 CCTV Surveillance, Community Hall, Spa/Sauna/Steam, Maintenance Staff, Rain Water Harvesting, 24x7 Security, Jacuzzi, Cafeteria, Waiting Lounge, Tennis Court, Garbage Disposal, Swimming Pool, Vastu Compliant, Landscaping & Tree Planting, Gymnasium, Fire Fighting System, School, Gated Community, Lawn Tennis Court, Club House, Entrance Lobby, Yoga / Meditation Area, Security Cabin, Lift(s), Aerobics Room, Badminton Court, Terrace Garden, Creche/Day Care, Sun Deck, Video Door Security, Multipurpose Hall, Basketball Court, Staff Quarter, Paved Compound, Solar Water Heating, ATM, Power Backup",Not Found,Not Found,Not Found,0,1988,32,"The Adani Group is one of India’s leading business houses with a revenue of over $12 billion. Over the years the group has diverged into various businesses like resources, logistics, energy, and agro to name a few with incredible success. Adani Realty, one of the youngest arms of the Adani Group, is committed to placing India on the world map with the creation of promising cities, integrating the finest design aesthetics combined with cutting-edge technology. We aspire to build the nation and have delivered 13 Lac sqm. of space to 6000 families in just 7 years, in addition to winning 31 awards including Asia's Top Brand Award in 2016 by PWC. With an aim to revolutionize the real estate sector, Adani Realty has 13 Lacs sqm. under development.",Not Found,"Oct, 2012"
Eros Sampoornam I,Not Found,By EROS GROUP,₹8.06 K/sq.ft,Ready to Move,835 - 1800 sq.ft.,29 Acres,UPRERAPRJ972907,,2026,"2, 3 BHK Apartments",77,"Amphitheater, Cricket Pitch, Spa, Skating Rink, Fountains, Business Suites, Car Parking, 24X7 Water Supply, Multipurpose Room, Senior Citizen Siteout, Street Lighting, Indoor Games, Cycling & Jogging Track, Shopping Mall, Piped Gas Connection, Party Lawn, Sewage Treatment Plant, Intercom, Children's Play Area, Salon, Steam Room, Card Room, Recreation Facilities, Party Hall, 24x7 CCTV Surveillance, Chess Board, Community Hall, Maintenance Staff, Banquet Hall, Rain Water Harvesting, Library, 24x7 Security, Electrical meter Room, Jacuzzi, Earthquake Resistant Structure, Cafeteria, Waiting Lounge, Reading Lounge, Tennis Court, Grocery Shop, Solar Lighting, Garbage Disposal, Swimming Pool, Vastu Compliant, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, Gymnasium, Fire Fighting System, Flower Garden, Community Buildings, School, Jogging Track, Gated Community, Lawn Tennis Court, Club House, Entrance Lobby, Yoga / Meditation Area, Security Cabin, Bar/Chill-out Lounge, Lift(s), Badminton Court, Terrace Garden, Creche/Day Care, Sun Deck, Video Door Security, Restaurant, Multipurpose Hall, Basketball Court, Staff Quarter, Paved Compound, Car Wash Area, Internal Roads & Footpaths, Energy management, Carrom, Power Backup, Billiards / Snooker Table, DG Availability",Not Found,Not Found,Not Found,(5 reviews),1940,32,"A premier Real Estate Developer in India, it has created some of the pioneering Real Estate projects over 8 decades. From a modest beginning to the accomplishments of numerous projects in varied sectors, the Group has left an indelible mark in the real estate and hospitality sectors. Eros Group boasts of acclaimed Townships like Charmwood Village, Eros Garden, Lakewood City at the southern fringe of Delhi and the Rosewood City in Gurugram – Sohna Road; Landmark theatres like Vishal Cineplex at Rajouri Garden (with maximum seating capacity) in Delhi; business centres like the International Trade Tower, American Plaza, Eros Corporate Tower with 7-level parking in Nehru Place, New Delhi, Eros Corporate Park at IMT-Manesar, Eros Corporate Avenue, Sector-32, Gurugram, Eros City Square, Eros EF3 Mall at Delhi-Mathura Road, Faridabad, Charmwood Plaza in Faridabad, Eros Metro Mall, Sector 14, Dwarka, New Delhi; prestigious hospitality ventures include Shangri-La’s Eros Hotel at Ashoka Road, Connaught Place and Eros Radisson Blu Hotel at DelhiMathura Road at Faridabad. With a remarkable track record of deliveries and trust, the Group has successfully delivered some premium luxury and affordable group housing projects like Wembley Estate, Royal Retreat I, II & III, Kenwood Brentwood, Woodberry and Mayfair Towers. From stunning high-rise buildings like Sterling Apartments, Eros Sampoornam to Eros Garden Villas and Rosewood Luxury Villas, the Group stands firm on the pillars of trust, quality and delivery. The Group is proud to have recently launched a new residential group-housing project, ‘Eros Sampoornam+’ in Greater Noida (West) and 2 more premium luxury residential towers in Charmwood Village, Faridabad.",Ready to Move,"Jan, 2011"
Nirala Estate,NIRALA WORLD,"GH 04, Techzone 4, Greater Noida",₹9.84 K/sq.ft,Under Construction,955 - 2320 sq.ft.,11 Acres,UPRERAPRJ519100,,1952,"2, 2.5, 3, 3.5, 4.5 BHK Apartments",33,"Amphitheater, Tennis Court, Swimming Pool, Skating Rink, Fountains, Vastu Compliant, Gymnasium, Car Parking, 24X7 Water Supply, Multipurpose Room, Jogging Track, Senior Citizen Siteout, Indoor Games, Pergola, Sports Facility, Lawn Tennis Court, Club House, Intercom, Children's Play Area, Yoga / Meditation Area, Security Cabin, Barbecue Area, Lift(s), Party Hall, Badminton Court, 24x7 CCTV Surveillance, Video Door Security, Basketball Court, Staff Quarter, Rain Water Harvesting, 24x7 Security, Jacuzzi, Power Backup",Not Found,Not Found,Not Found,(22 reviews),1996,3,"Nirala World is one of the pioneer builders in the construction sector of India. The group has constructed world class residential projects with all necessary amenities and services to meet the needs of the customer. The builder’s main focus is to satisfy the customer by fulfilling their wants and desire. The specialized professional engineers make an effort to construct projects which are unique landmarks in the city. The group’s dedication, hard work, sincerity, quality and time delivery is implemented in every project. The developer is also loyal to construct homes while being affordable, with best quality and standards in construction and complete value for money. They have constructed unparalleled edifices on time that redefine and bring forth a new way of living.",Under Construction,"May, 2010"
DLF The Ultima,DLF,"Sector-81, New Gurgaon, Gurgaon",₹17 K/sq.ft,Ready to Move,1911 - 3035 sq.ft.,22 Acres,GGM/358/90/2019/52,,,"3, 4 BHK Apartments",22,"Tennis Court, Swimming Pool, Fountains, Lift(s), Landscaping & Tree Planting, Badminton Court, Gymnasium, Fire Fighting System, Jogging Track, Basketball Court, Indoor Games, Sports Facility, Smoke Detectors, Maintenance Staff, Banquet Hall, Shopping Mall, Rain Water Harvesting, 24x7 Security, Cafeteria, Power Backup, Club House, Intercom",Not Found,Not Found,Not Found,0,1946,156,"At DLF, we take pride in our uncompromising integrity in customer engagement and quality assurance, and throughout our 73 years legacy we have made it our core mission to provide real-estate development, management, and investment services of the highest calibre.
Founded in 1946 by Chaudhary Raghvendra Singh, DLF started with the creation of 22 urban colonies in Delhi. In 1985, the company expanded into the then-unknown region of Gurugram, creating exceptional living and working spaces for the new Indian global professionals. Today, DLF is the largest publicly listed real estate company in India, with residential, commercial, and retail properties in 15 states and 24 cities.
Our diverse verticals reflect our dedication to developing ecosystems for India’s changing needs. But our foundation has always been our employees, our customers, our stakeholders, and our shareholders. We invest in spearheading innovation through empowerment and optimism, in order to build the foundation of India’s future on the legacy of our past.",Ready to Move,"Mar, 2013"
Capital Athena,CAPITAL INFRATECHOMES,"Plot No. G.H. 12A-2, Sector 1 Noida Extension, Greater Noida",₹9 K/sq.ft,"Mar, 2024",1075 - 2790 sq.ft.,8.38 Acres (75% open),"UPRERAPRJ6310, UPRERAPRJ6377",,1056,"2, 3, 4 BHK Apartments",53,"Amphitheater, Cricket Pitch, Spa, Skating Rink, Table Tennis, Business Suites, Kid's Pool, Medical Store/Pharmacy, Car Parking, 24X7 Water Supply, Multipurpose Room, Senior Citizen Siteout, Indoor Games, Shopping Mall, Business Center, Party Lawn, Intercom, Children's Play Area, Salon, 24x7 CCTV Surveillance, Spa/Sauna/Steam, Banquet Hall, Maintenance Staff, Rain Water Harvesting, 24x7 Security, Jacuzzi, Cafeteria, Internet / Wi-Fi, Solar Lighting, Swimming Pool, Vastu Compliant, Landscaping & Tree Planting, Gymnasium, Fire Fighting System, Flower Garden, Golf Course, Jogging Track, Sports Facility, Lawn Tennis Court, Club House, Entrance Lobby, Yoga / Meditation Area, Lift(s), Badminton Court, RO Water System, Video Door Security, Multipurpose Hall, Basketball Court, Staff Quarter, Paved Compound, ATM, Power Backup, Billiards / Snooker Table",Not Found,Not Found,Not Found,(13 reviews),2012,4,"Capital Infratechomes Pvt. Ltd. is a prominent and highly regarded Real Estate company of India. This company is synonymous with perfection. With each past project, they have produced structural marvels that have become landmarks. The past residential and commercial complexes constructed by Capital Infratechomes Pvt. Ltd. were all futuristic. Hence, they were well received and their perfection captivated many home owners and clients. These elated clients and home owners are the reason behind the popularity of this company. The engineers and architects of Capital Infratechomes Pvt. Ltd. are creative, innovative and erudite who constantly thrive to create masterpieces.",Ready to Move,
DLF The Crest,Not Found,Not Found,Not Found,Not Found,2246 - 6221 sq.ft.,9 Acres,Rera Not Applicable,,756,Not Found,51,"Cricket Pitch, Spa, Fountains, Water Softner Plant, Car Parking, 24X7 Water Supply, Multipurpose Room, Senior Citizen Siteout, Indoor Games, Business Center, Party Lawn, Sewage Treatment Plant, Intercom, Children's Play Area, Card Room, 24x7 CCTV Surveillance, Maintenance Staff, Rain Water Harvesting, Laundromat, 24x7 Security, Waiting Lounge, Reading Lounge, Internet / Wi-Fi, Swimming Pool, Vastu Compliant, Landscaping & Tree Planting, Fire Fighting System, Gymnasium, Flower Garden, Squash Court, Jogging Track, Gated Community, Sports Facility, Club House, Entrance Lobby, Yoga / Meditation Area, Security Cabin, Bar/Chill-out Lounge, Lift(s), Badminton Court, Sun Deck, Video Door Security, Restaurant, Basketball Court, Staff Quarter, Paved Compound, Solar Water Heating, Internal Roads & Footpaths, Power Backup, Billiards / Snooker Table, DG Availability",Not Found,Not Found,Not Found,0,1946,156,"At DLF, we take pride in our uncompromising integrity in customer engagement and quality assurance, and throughout our 73 years legacy we have made it our core mission to provide real-estate development, management, and investment services of the highest calibre.
Founded in 1946 by Chaudhary Raghvendra Singh, DLF started with the creation of 22 urban colonies in Delhi. In 1985, the company expanded into the then-unknown region of Gurugram, creating exceptional living and working spaces for the new Indian global professionals. Today, DLF is the largest publicly listed real estate company in India, with residential, commercial, and retail properties in 15 states and 24 cities.
Our diverse verticals reflect our dedication to developing ecosystems for India’s changing needs. But our foundation has always been our employees, our customers, our stakeholders, and our shareholders. We invest in spearheading innovation through empowerment and optimism, in order to build the foundation of India’s future on the legacy of our past.",Not Found,"May, 2013"
